type,x,y,time
mouse,111,123,1775454364513
mouse,110,125,1775454364519
mouse,109,126,1775454364526
mouse,109,127,1775454364531
mouse,108,129,1775454364537
mouse,108,130,1775454364556
mouse,108,131,1775454364563
mouse,108,129,1775454364659
mouse,110,129,1775454364666
mouse,112,127,1775454364673
mouse,116,125,1775454364680
mouse,119,121,1775454364687
mouse,122,119,1775454364700
mouse,124,117,1775454364706
mouse,127,116,1775454364712
mouse,128,116,1775454364718
mouse,129,115,1775454364725
mouse,130,114,1775454364731
mouse,131,114,1775454364737
mouse,132,113,1775454364755
mouse,133,113,1775454364773
mouse,134,113,1775454364855
mouse,135,113,1775454364881
mouse,136,113,1775454364938
mouse,137,113,1775454364943
mouse,139,114,1775454364951
mouse,146,119,1775454364957
mouse,160,128,1775454364965
mouse,214,157,1775454364972
mouse,275,185,1775454364978
mouse,311,201,1775454364991
mouse,330,205,1775454364997
mouse,342,205,1775454365003
mouse,349,205,1775454365009
mouse,352,204,1775454365015
mouse,354,203,1775454365021
mouse,356,202,1775454365029
mouse,357,201,1775454365034
mouse,358,200,1775454365041
mouse,358,197,1775454365048
mouse,359,194,1775454365055
mouse,360,189,1775454365062
mouse,361,185,1775454365069
mouse,363,180,1775454365082
mouse,364,175,1775454365088
mouse,368,170,1775454365094
mouse,369,167,1775454365100
mouse,370,165,1775454365106
mouse,371,164,1775454365112
mouse,372,162,1775454365118
mouse,372,161,1775454365125
mouse,368,161,1775454365143
mouse,355,158,1775454365149
mouse,314,153,1775454365155
mouse,254,148,1775454365161
mouse,199,141,1775454365167
mouse,145,132,1775454365173
mouse,84,120,1775454365180
mouse,28,105,1775454365187
mouse,0,94,1775454365194
mouse,0,87,1775454365201
mouse,0,85,1775454365208
mouse,0,83,1775454365215
mouse,0,84,1775454365242
mouse,0,85,1775454365249
mouse,3,89,1775454365264
mouse,12,104,1775454365270
mouse,46,170,1775454365278
mouse,84,234,1775454365284
mouse,121,286,1775454365291
mouse,154,322,1775454365298
mouse,186,357,1775454365305
mouse,216,388,1775454365318
mouse,239,407,1775454365324
mouse,255,417,1775454365330
